"日付","時間","銘柄名","銘柄コード","市場","口座区分","預り区分","現在値","平均取得単価","保有数","うち貸株数","発注数","時価評価額","評価損益"
"2026/04/02","19:28:38","帝人","3401","東証","NISA","普通預り","1660.5","1448.00","200","","0","332100","42500"
"2026/04/02","19:28:38","クラレ","3405","東証","特定","普通預り","1668.5","1587.00","200","","0","333700","16300"
"2026/04/02","19:28:38","ヤプリ","4168","東証","特定","普通預り","688","839.00","100","","0","68800","-15100"
"2026/04/02","19:28:38","Ｈｉクラテス","4172","東証","特定","普通預り","2366","2356.00","100","","0","236600","1000"
"2026/04/02","19:28:38","ＬＩＮＥヤフー","4689","東証","NISA","普通預り","391.2","385.00","500","","0","195600","3100"
"2026/04/02","19:28:38","サイバーエージェント","4751","東証","NISA","普通預り","1320","900.00","500","","0","660000","210000"
"2026/04/02","19:28:38","ライオン","4912","東証","NISA","普通預り","1683.5","1370.00","100","","0","168350","31350"
"2026/04/02","19:28:38","ＡＲＣＨＩＯＮ","543A","東証","NISA","普通預り","465","489.00","500","","0","232500","-12000"
"2026/04/02","19:28:38","三井金属","5706","東証","特定","普通預り","29650","3085.00","100","","0","2965000","2656500"
"2026/04/02","19:28:38","プロレド・パートナーズ","7034","東証","特定","普通預り","429","587.00","100","","0","42900","-15800"
"2026/04/02","19:28:38","日産自動車","7201","東証","特定","普通預り","345.8","555.00","300","","0","103740","-62760"
"2026/04/02","19:28:38","カヤバ","7242","東証","特定","普通預り","4260","1703.00","200","","0","852000","511400"
"2026/04/02","19:28:38","三菱地所","8802","東証","NISA","普通預り","4448","1746.00","200","","0","889600","540400"
"2026/04/02","19:28:38","ソフトバンク","9434","東証","特定","普通預り","215.4","149.00","1000","","0","215400","66400"
